"Date","Game","Team","Opponent","Home","Win","FieldGoals.","X3PointShots.","FreeThrows.","OffRebounds","TotalRebounds","Assists","Steals","Blocks","Turnovers","TotalFouls","Opp.FieldGoals.","Opp.3PointShots.","Opp.FreeThrows.","Opp.OffRebounds","Opp.TotalRebounds","Opp.Assists","Opp.Steals","Opp.Blocks","Opp.Turnovers","Opp.TotalFouls","TeamGroup","OppGroup"
2014-10-29,1,"ATL","TOR","0","0",0.5,0.591,0.529,10,42,26,6,8,17,24,0.411,0.308,0.818,16,48,26,13,9,9,22,3,4
2014-11-01,2,"ATL","IND","1","1",0.507,0.35,0.758,3,37,26,10,6,12,20,0.383,0.375,0.857,11,44,25,5,5,18,26,3,2
2014-11-05,3,"ATL","SAS","0","0",0.413,0.32,0.727,10,37,26,14,5,13,25,0.449,0.294,0.711,11,50,25,7,9,19,15,3,4
2014-11-07,4,"ATL","CHO","0","0",0.462,0.394,0.769,7,38,28,8,3,19,33,0.495,0.286,0.741,11,51,31,6,7,19,30,3,3
2014-11-08,5,"ATL","NYK","1","1",0.407,0.409,0.778,12,41,18,10,5,8,17,0.476,0.381,0.727,13,44,26,2,6,15,29,3,1
2014-11-10,6,"ATL","NYK","0","1",0.38,0.37,0.964,9,38,20,7,3,15,16,0.434,0.231,0.583,11,40,23,4,2,15,26,3,1
2014-11-12,7,"ATL","UTA","1","1",0.513,0.45,0.722,13,46,23,8,4,18,12,0.5,0.217,0.5,8,30,28,12,8,11,17,3,2
2014-11-14,8,"ATL","MIA","1","1",0.56,0.393,0.826,3,36,33,10,5,13,20,0.473,0.476,0.92,5,32,27,10,3,14,20,3,2
2014-11-18,10,"ATL","LAL","1","0",0.482,0.333,0.783,13,38,22,7,3,10,17,0.54,0.353,0.636,13,44,24,7,0,11,24,3,1
2014-11-29,15,"ATL","CHO","1","1",0.533,0.522,0.813,5,44,31,8,5,12,17,0.33,0.217,0.75,13,38,20,3,4,12,16,3,3
2014-12-02,16,"ATL","BOS","1","1",0.524,0.458,0.857,4,31,36,8,8,16,14,0.488,0.522,0.846,9,42,33,10,3,21,20,3,3
2014-12-05,18,"ATL","BRK","0","1",0.432,0.382,0.625,6,46,22,12,4,10,22,0.375,0.167,0.632,9,51,16,4,2,17,21,3,1
2014-12-07,19,"ATL","DEN","1","1",0.414,0.37,0.737,11,43,26,9,4,12,15,0.366,0.171,0.769,16,52,25,9,4,14,22,3,3
2014-12-08,20,"ATL","IND","0","1",0.519,0.429,0.704,6,47,27,11,7,16,20,0.44,0.333,0.529,8,42,23,6,2,17,22,3,2
2014-12-10,21,"ATL","PHI","1","1",0.418,0.333,0.692,16,52,26,15,1,14,16,0.417,0.24,0.591,7,39,21,10,10,18,18,3,1
2014-12-12,22,"ATL","ORL","1","1",0.372,0.31,0.741,5,42,24,12,3,12,12,0.39,0.346,0.75,9,46,14,3,4,18,27,3,1
2014-12-17,25,"ATL","CLE","0","1",0.645,0.571,0.813,6,40,36,3,5,9,17,0.451,0.267,0.762,10,33,24,3,0,8,17,3,4
2014-12-22,27,"ATL","DAL","0","1",0.494,0.368,0.667,6,43,26,6,6,17,21,0.433,0.393,0.65,13,47,23,12,5,15,23,3,2
2014-12-23,28,"ATL","LAC","1","1",0.447,0.522,0.771,9,43,28,6,3,14,21,0.402,0.379,0.679,16,51,26,10,5,10,23,3,4
