"Date","Game","Team","Opponent","Home","Win","PIR","OppPIR","TeamGroup","OppGroup"
2014-10-29,1,"ATL","TOR","0","0",108,131,3,4
2014-11-01,2,"ATL","IND","1","1",128,88,3,2
2014-11-05,3,"ATL","SAS","0","0",85,122,3,4
2014-11-07,4,"ATL","CHO","0","0",111,142,3,3
2014-11-08,5,"ATL","NYK","1","1",119,95,3,1
2014-11-10,6,"ATL","NYK","0","1",107,74,3,1
2014-11-12,7,"ATL","UTA","1","1",118,106,3,2
2014-11-14,8,"ATL","MIA","1","1",145,115,3,2
2014-11-18,10,"ATL","LAL","1","0",127,120,3,1
2014-11-29,15,"ATL","CHO","1","1",138,61,3,3
2014-12-02,16,"ATL","BOS","1","1",138,113,3,3
2014-12-05,18,"ATL","BRK","0","1",114,71,3,1
2014-12-07,19,"ATL","DEN","1","1",113,87,3,3
2014-12-08,20,"ATL","IND","0","1",139,84,3,2
2014-12-10,21,"ATL","PHI","1","1",110,87,3,1
2014-12-12,22,"ATL","ORL","1","1",111,61,3,1
2014-12-17,25,"ATL","CLE","0","1",172,95,3,4
2014-12-22,27,"ATL","DAL","0","1",116,108,3,2
2014-12-23,28,"ATL","LAC","1","1",120,117,3,4
2014-12-26,29,"ATL","MIL","1","0",71,134,3,2
2014-12-30,31,"ATL","CLE","1","1",136,96,3,4
2015-01-02,32,"ATL","UTA","0","1",111,94,3,2
2015-01-03,33,"ATL","POR","0","1",130,104,3,3
2015-01-05,34,"ATL","LAC","0","1",117,102,3,4
2015-01-07,35,"ATL","MEM","1","1",116,84,3,1
2015-01-09,36,"ATL","DET","0","1",127,107,3,1
2015-01-11,37,"ATL","WAS","1","1",148,99,3,3
2015-01-14,39,"ATL","BOS","0","1",139,75,3,3
2015-01-16,40,"ATL","TOR","0","1",135,81,3,4
2015-01-17,41,"ATL","CHI","0","1",134,108,3,2
2015-01-19,42,"ATL","DET","1","1",110,87,3,1
2015-01-21,43,"ATL","IND","1","1",132,96,3,2
2015-01-23,44,"ATL","OKC","1","1",125,93,3,4
2015-01-25,45,"ATL","MIN","1","1",129,112,3,3
2015-01-28,46,"ATL","BRK","1","1",136,109,3,1
2015-01-30,47,"ATL","POR","1","1",124,107,3,3
2015-01-31,48,"ATL","PHI","1","1",111,76,3,1
2015-02-02,49,"ATL","NOP","0","0",91,150,3,4
2015-02-04,50,"ATL","WAS","1","1",119,100,3,3
2015-02-06,51,"ATL","GSW","1","1",149,128,3,4
2015-02-09,53,"ATL","MIN","0","1",136,116,3,3
2015-02-20,55,"ATL","TOR","1","0",78,122,3,4
2015-02-22,56,"ATL","MIL","0","1",105,82,3,2
2015-02-27,58,"ATL","ORL","1","1",112,90,3,1
2015-03-03,60,"ATL","HOU","1","1",122,97,3,4
